name,capital,population,area_km2
Phnom Penh,Phnom Penh,"2,353,000",678
Banteay Meanchey,Serei Saophoan,"861,883","6,679"
Battambang,Battambang,"987,400","11,702"
Kampong Cham,Kampong Cham,"899,791","4,549"
Kampong Chhnang,Kampong Chhnang,"527,027","5,521"
Kampong Speu,Kampong Speu,"877,523","7,017"
Kampong Thom,Kampong Thom,"708,398","13,814"
Kampot,Kampot,"627,884","4,873"
Kandal,Ta Khmau,"1,265,805","3,568"
Kep,Kep,"41,798",336
Koh Kong,Koh Kong,"123,618","11,160"
Kratié,Kratié,"374,755","11,094"
Mondulkiri,Senmonorom,"92,213","14,288"
Oddar Meanchey,Samraong,"276,038","6,158"
Pailin,Pailin,"79,445",803
Preah Sihanouk,Sihanoukville,"310,072","2,536"
Preah Vihear,Preah Vihear,"254,827","13,788"
Prey Veng,Prey Veng,"1,146,000","4,883"
Pursat,Pursat,"419,952","12,692"
Ratanakiri,Banlung,"217,453","10,782"
Siem Reap,Siem Reap,"1,006,512","10,299"
Stung Treng,Stung Treng,"165,713","11,092"
Svay Rieng,Svay Rieng,"525,000","2,966"
Takeo,Takeo,"900,914","3,563"
Tboung Khmum,Suong,"776,841","4,928"
